,Papel,Tipo,Empresa,Setor,Subsetor,Cotacao,Data_ult_cot,Min_52_sem,Max_52_sem,Vol_med_2m,Valor_de_mercado,Valor_da_firma,Ult_balanco_processado,Nro_Acoes,PL,PVP,PEBIT,PSR,PAtivos,PCap_Giro,PAtiv_Circ_Liq,Div_Yield,EV_EBITDA,EV_EBIT,Cres_Rec_5a,LPA,VPA,Marg_Bruta,Marg_EBIT,Marg_Liquida,EBIT_Ativo,ROIC,ROE,Liquidez_Corr,Div_Br_Patrim,Giro_Ativos,Ativo,Disponibilidades,Ativo_Circulante,Div_Bruta,Div_Liquida,Patrim_Liq,Receita_Liquida_12m,EBIT_12m,Lucro_Liquido_12m,Receita_Liquida_3m,EBIT_3m,Lucro_Liquido_3m,Cart_de_Credito,Depositos,Result_Int_Financ_12m,Rec_Servicos_12m,Result_Int_Financ_3m,Rec_Servicos_3m,RankEV_Ebit,RankROIC,volumeDiario,Rankfim
RANI3,RANI3,ON,CELULOSE IRANI ON,Madeira e Papel,Papel e Celulose,6.35,2022-01-25,5.25,9.49,8090190,1630170000,1902740000,2021-09-30,256720000,637,171,432,110,078,337,-507,5.6%,408,0.504,12.5%,100,372,37.4%,25.5%,17.3%,18.0%,23.6%,26.8%,245,067,071,2094360000,363177000,818868000,635739000,272562000,954241000,1482700000,377620000,255904000,432468000,131822000,97595000,,,,,,,170.0,94.0,202254.75,264.0
DXCO3,DXCO3,ON,DEXCO ON,Madeira e Papel,Madeira,13.70,2022-01-25,13.28,20.38,51695300,10425200000,12130600000,2021-09-30,760963000,721,173,688,133,084,552,-553,11.4%,545,0.8009999999999999,16.4%,190,790,34.5%,19.4%,18.5%,12.1%,15.4%,24.0%,170,052,063,12470900000,1406020000,4571760000,3111390000,1705360000,6013800000,7812960000,1514450000,1446010000,2177150000,429083000,255266000,,,,,,,123.5,143.0,1292382.5,266.5
CCRO3,CCRO3,ON NM,COMPANHIA DE CONCESSÕES RODOVIÁRIAS ON NM,Transporte,Exploração de Rodovias,12.15,2022-01-25,10.74,13.99,122714000,24543000000,40600200000,2021-09-30,2020000000,3255,288,736,204,062,587,-125,1.4%,631,1.217,3.5%,037,422,38.9%,27.8%,7.3%,8.5%,10.9%,8.8%,162,285,030,39416600000,8257790000,10890700000,24315000000,16057200000,8522990000,12004000000,3335430000,753996000,2843310000,872354000,183913000,,,,,,,82.5,185.0,3067850.0,267.5
AGRO3,AGRO3,ON NM,BRASILAGRO ON NM,Agropecuária,Agricultura,26.73,2022-01-25,19.76,32.85,16196500,2736540000,2342390000,2021-09-30,102377000,745,118,559,186,077,223,393,9.8%,346,0.479,49.0%,359,2271,38.6%,33.2%,24.9%,13.7%,23.3%,15.8%,272,034,041,3569020000,1192780000,1940570000,798628000,-394148000,2324940000,1472530000,489195000,367393000,532691000,132424000,125401000,,,,,,,172.0,96.0,404912.5,268.0
MOVI3,MOVI3,ON NM,MOVIDA ON NM,Diversos,Aluguel de carros,15.53,2022-01-25,13.40,22.62,36490100,5626550000,11343500000,2021-09-30,362302000,775,177,443,123,029,079,-079,2.1%,708,0.892,20.6%,200,877,39.4%,27.7%,15.9%,6.4%,12.6%,22.9%,410,440,023,19735800000,8274310000,9415680000,13991300000,5716960000,3178130000,4582330000,1271180000,726369000,1575240000,532236000,259381000,,,,,,,109.0,163.0,912252.5,272.0
USIM3,USIM3,ON N1,USIMINAS ON N1,Siderurgia e Metalurgia,Siderurgia,14.48,2022-01-25,11.59,22.48,9453700,18144600000,16929300000,2021-09-30,1253080000,221,090,184,058,047,128,365,9.0%,156,0.172,27.1%,656,1609,34.7%,31.6%,30.4%,25.3%,34.0%,40.8%,308,030,080,38918400000,7293500000,20948600000,6078220000,-1215280000,20164300000,31162000000,9837240000,8221180000,9025650000,2820840000,1562220000,,,,,,,200.0,74.0,236342.5,274.0
SLCE3,SLCE3,ON NM,SLC Agricola ON NM,Agropecuária,Agricultura,46.09,2022-01-25,30.46,51.36,55492600,9790560000,12033200000,2021-09-30,212423000,919,272,603,175,076,813,-262,2.1%,684,0.7409999999999999,25.0%,502,1692,36.3%,29.0%,20.2%,12.7%,14.8%,29.6%,130,083,044,12825400000,725420000,5245360000,2968070000,2242650000,3595110000,5607870000,1624910000,1065800000,1143490000,88603000,121012000,,,,,,,132.0,147.5,1387315.0,279.5
ESPA3,ESPA3,ON NM,ESPACOLASER ON NM,Comércio,Produtos Diversos,6.11,2022-01-25,5.98,21.50,25149600,1492280000,2111410000,2021-09-30,244236000,543,216,710,198,068,869,-256,2.3%,755,1.0050000000000001,-,112,283,50.5%,27.9%,37.4%,9.6%,11.1%,39.7%,123,129,034,2190520000,270858000,914471000,889989000,619131000,691061000,753899000,210192000,274671000,104268000,-41052000,8116000,,,,,,,101.0,180.0,628740.0,281.0
PTBL3,PTBL3,ON,PORTOBELLO S/A ON,Construção e Engenharia,Produtos para Construção,8.51,2022-01-25,6.83,17.97,8871820,1255480000,1744830000,2021-09-30,147530000,640,336,413,070,056,458,-156,13.5%,463,0.5740000000000001,14.0%,133,253,41.6%,16.9%,10.9%,13.7%,18.5%,52.5%,136,220,081,2223590000,332911000,1043810000,822262000,489351000,373390000,1801160000,304175000,196080000,519380000,100070000,80668000,,,,,,,161.0,122.0,221795.5,283.0
FHER3,FHER3,ON NM,Fer Heringer ON NM,Químicos,Fertilizantes e Defensivos,16.50,2022-01-25,3.90,46.77,25759300,888641000,1384290000,2021-09-30,53857000,312,982,179,026,036,162,-113,0.0%,264,0.279,-14.0%,528,168,20.1%,14.4%,8.3%,20.3%,23.3%,314.4%,154,560,141,2444080000,10934000,1566170000,506585000,495651000,90470000,3445400000,496192000,284417000,1314420000,248965000,101317000,,,,,,,189.0,96.0,643982.5,285.0
ROMI3,ROMI3,ON,ROMI ON,Máquinas e Equipamentos,Máq. e Equip. Industriais,15.87,2022-01-25,14.55,36.67,15774400,1163810000,1581980000,2021-09-30,73334000,494,127,619,089,061,207,734,4.9%,685,0.841,17.9%,321,1253,32.4%,14.5%,18.1%,9.9%,11.5%,25.6%,198,058,068,1900180000,113471000,1137980000,531639000,418168000,919233000,1301310000,188144000,235471000,366577000,54846000,85747000,,,,,,,114.0,174.5,394360.0,288.5
JBSS3,JBSS3,ON NM,JBS ON NM,Alimentos Processados,Carnes e Derivados,36.14,2022-01-25,21.82,38.19,341091000,85791600000,145673000000,2021-09-30,2373870000,476,184,320,026,044,312,-129,8.8%,411,0.5429999999999999,19.4%,760,1961,17.7%,8.1%,5.5%,13.7%,18.6%,38.7%,153,181,168,196027000000,24479000000,79367900000,84360300000,59881200000,46554500000,329563000000,26838900000,18032900000,92625300000,10806400000,7585570000,,,,,,,168.0,121.0,8527275.0,289.0
PETR3,PETR3,ON,PETROBRAS ON,"Petróleo, Gás e Biocombustíveis","Exploração, Refino e Distribuição",35.80,2022-01-25,17.22,35.80,681242000,466993000000,728803000000,2021-09-30,13044500000,346,127,270,119,048,1688,-108,15.8%,307,0.421,5.0%,1035,2829,51.1%,44.0%,34.6%,17.8%,19.6%,36.6%,120,088,040,974689000000,62314000000,166334000000,324124000000,261810000000,369077000000,393450000000,173092000000,135054000000,121594000000,52023000000,31142000000,,,,,,,177.0,115.0,17031050.0,292.0
SIMH3,SIMH3,ON NM,SIMPAR ON NM,Holdings Diversificadas,Holdings Diversificadas,10.38,2022-01-25,8.13,17.34,24037000,8689330000,21226600000,2021-09-30,837122000,1065,255,357,070,021,055,-060,1.5%,617,0.873,-,098,407,29.6%,19.6%,9.8%,5.9%,11.0%,24.0%,409,857,030,41082100000,16643700000,20941300000,29181100000,12537300000,3406830000,12414200000,2432810000,816242000,3958280000,903987000,245763000,,,,,,,110.0,183.0,600925.0,293.0
CRFB3,CRFB3,ON NM,CARREFOUR BR ON NM,Comércio e Distribuição,Alimentos,15.46,2022-01-25,13.96,22.94,72330100,30693400000,40416400000,2021-09-30,1985340000,1002,181,611,040,057,1579,-332,5.9%,650,0.804,13.5%,154,852,19.0%,6.6%,4.3%,9.3%,11.8%,18.1%,108,071,141,54199000000,2358000000,26656000000,12081000000,9723000000,16925000000,76686000000,5026000000,3062000000,19856000000,1167000000,638000000,,,,,,,122.0,172.0,1808252.5,294.0
ECOR3,ECOR3,ON NM,ECORODOVIAS ON NM,Transporte,Exploração de Rodovias,7.52,2022-01-25,6.94,13.43,52131100,5236430000,12741400000,2021-09-30,696334000,-1924,248,278,118,030,-372,-050,0.0%,503,0.675,10.8%,-039,303,41.0%,42.6%,-6.2%,11.0%,13.8%,-12.9%,076,516,026,17215200000,3374870000,4379220000,10879800000,7504940000,2109920000,4429950000,1886520000,-272125000,1262420000,421161000,143273000,,,,,,,141.5,152.5,1303277.5,294.0
CAML3,CAML3,ON NM,CAMIL ON NM,Alimentos Processados,Alimentos Diversos,9.19,2022-01-25,8.55,11.38,18390300,3400300000,5248840000,2021-11-30,370000000,809,118,625,040,042,115,-3428,2.7%,897,0.9650000000000001,24.9%,114,776,19.8%,6.3%,4.9%,6.7%,10.4%,14.6%,235,131,106,8117980000,1901170000,5146340000,3749710000,1848540000,2872440000,8579210000,543895000,420284000,2272960000,151848000,120509000,,,,,,,106.0,189.0,459757.5,295.0
KEPL3,KEPL3,ON,KEPLER WEBER SA ON,Máquinas e Equipamentos,Máq. e Equip. Industriais,36.04,2022-01-25,28.70,45.94,8981730,1093850000,717215000,2021-09-30,30351000,1203,159,876,103,082,303,370,29.5%,470,0.575,14.7%,300,2264,22.8%,11.8%,8.6%,9.4%,16.2%,13.2%,162,009,079,1333580000,438852000,942380000,62217000,-376635000,687143000,1057430000,124830000,90909000,330467000,57585000,41133000,,,,,,,160.0,136.5,224543.25,296.5
CPFE3,CPFE3,ON,CPFL ENERGIA S.A. ON,Energia Elétrica,Energia Elétrica,28.19,2022-01-25,22.54,29.61,102086000,32482100000,47113300000,2021-09-30,1152250000,735,220,479,086,053,1690,-104,13.1%,574,0.6950000000000001,8.8%,384,1281,22.9%,18.0%,12.0%,11.0%,13.0%,30.0%,114,133,061,61639600000,4920860000,15455000000,19552100000,14631300000,14756100000,37564300000,6778110000,4420540000,11189900000,2064020000,1401850000,,,,,,,138.0,158.5,2552150.0,296.5
LJQQ3,LJQQ3,ON NM,QUERO-QUERO ON NM,Comércio,Produtos Diversos,9.27,2022-01-25,8.22,24.64,25910000,1736180000,1587200000,2021-09-30,187290000,2226,327,888,088,067,225,-589,1.5%,583,0.812,-,042,284,40.2%,9.9%,4.0%,7.5%,11.0%,14.7%,176,056,076,2610740000,448577000,1785060000,299603000,-148974000,530972000,1972410000,195486000,78001000,538667000,46352000,15551000,,,,,,,120.0,183.0,647750.0,303.0
TUPY3,TUPY3,ON,TUPY ON,Material de Transporte,Material Rodoviário,20.10,2022-01-25,18.92,25.98,12143100,2897980000,3884010000,2021-09-30,144178000,1272,108,518,046,045,126,16209,2.1%,425,0.6940000000000001,11.2%,158,1866,16.5%,8.9%,3.6%,8.6%,12.3%,8.5%,254,077,097,6471850000,1091720000,3798970000,2077750000,986030000,2690750000,6293340000,559773000,227833000,1833810000,217276000,125150000,,,,,,,139.0,166.0,303577.5,305.0
EQTL3,EQTL3,ON NM,EQUATORIAL ENERGIA S.A. ON NM,Energia Elétrica,Energia Elétrica,22.18,2022-01-25,19.30,26.31,136559000,22413800000,34674500000,2021-09-30,1010540000,610,188,436,101,040,299,-102,3.2%,589,0.675,27.7%,364,1182,29.9%,23.2%,19.3%,9.2%,11.9%,30.8%,161,183,040,55563800000,9620630000,19718300000,21881300000,12260700000,11941100000,22177000000,5139120000,3674800000,7488840000,1212260000,1410400000,,,,,,,141.5,170.5,3413975.0,312.0
POSI3,POSI3,ON NM,POSITIVO INF ON NM,Computadores e Equipamentos,Computadores e Equipamentos,8.81,2022-01-25,3.85,15.58,38350100,1249260000,1595340000,2021-09-30,141800000,407,105,503,040,038,120,216,3.9%,547,0.642,12.1%,217,837,23.2%,7.9%,9.9%,7.5%,12.6%,25.9%,163,062,095,3320380000,388751000,2702190000,734833000,346082000,1187040000,3142500000,248498000,307024000,828794000,68940000,53592000,,,,,,,149.0,163.0,958752.5,312.0
JHSF3,JHSF3,ON NM,JHSF Part ON NM,Construção Civil,Incorporações,5.82,2022-01-25,4.58,7.70,23878500,3993830000,5085660000,2021-09-30,686224000,434,090,356,208,050,268,-322,6.8%,434,0.45299999999999996,52.1%,134,647,70.9%,58.5%,47.7%,14.0%,15.9%,20.7%,287,043,024,8041160000,839012000,2289230000,1930850000,1091840000,4443130000,1918730000,1122740000,919470000,476375000,244587000,213974000,,,,,,,173.0,141.0,596962.5,314.0
ENAT3,ENAT3,ON,ENAUTA PART ON,"Petróleo, Gás e Biocombustíveis","Exploração, Refino e Distribuição",14.61,2022-01-25,11.25,18.71,17740100,3883440000,2376480000,2021-09-30,265807000,490,112,1061,298,067,189,701,1.3%,233,0.65,30.7%,298,1304,34.4%,28.0%,60.7%,6.3%,11.3%,22.8%,347,026,023,5795120000,2418840000,2881940000,911878000,-1506960000,3467240000,1305300000,365892000,791935000,588285000,167497000,133953000,,,,,,,147.0,178.0,443502.5,325.0
ENBR3,ENBR3,ON,EDP ENERGIAS DO BRASIL S/A ON,Energia Elétrica,Energia Elétrica,21.45,2022-01-25,16.39,21.64,72552500,12466000000,20559800000,2021-09-30,581165000,608,113,329,067,037,1833,-103,7.4%,458,0.5429999999999999,10.7%,353,1892,24.1%,20.4%,12.4%,11.3%,12.8%,18.6%,108,090,055,33562500000,1797260000,9281150000,9891060000,8093800000,10996900000,18595000000,3788080000,2050760000,5693270000,964252000,510518000,,,,,,,168.0,160.5,1813812.5,328.5
NEOE3,NEOE3,ON NM,NEOENERGIA ON NM,Energia Elétrica,Energia Elétrica,15.92,2022-01-25,14.45,18.71,33649600,19323600000,49040600000,2021-09-30,1213800000,451,081,238,046,024,-1216,-050,2.8%,489,0.604,19.8%,353,1965,24.4%,19.5%,10.6%,10.0%,11.4%,18.0%,092,143,051,81030000000,4407000000,18125000000,34124000000,29717000000,23854000000,41708000000,8113000000,4285000000,12249000000,2448000000,1281000000,,,,,,,152.5,176.5,841240.0,329.0
CSMG3,CSMG3,ON,COPASA MG ON,Água e Saneamento,Água e Saneamento,12.58,2022-01-25,11.50,17.35,25066500,4783580000,7314250000,2021-09-30,380253000,645,072,378,083,038,613,-146,7.5%,376,0.5770000000000001,8.2%,195,1750,40.7%,21.9%,12.8%,10.0%,11.5%,11.2%,139,060,045,12717100000,1458310000,2796670000,3988970000,2530660000,6654040000,5783360000,1267110000,742039000,1510470000,166623000,16369000,,,,,,,159.0,174.5,626662.5,333.5
BKBR3,BKBR3,ON NM,BK BRASIL ON NM,Hoteis e Restaurantes,Restaurante e Similares,5.94,2022-01-25,5.18,12.40,15826700,1635610000,1982520000,2021-09-30,275355000,-414,106,-600,063,044,1536,-119,0.0%,2167,-0.7270000000000001,3.9%,-143,562,60.6%,-10.4%,-15.1%,-7.3%,-9.0%,-25.5%,116,054,070,3710920000,485766000,792640000,832677000,346911000,1547140000,2614420000,-272632000,-394712000,709978000,-18722000,-37946000,,,,,,,237.0,206.0,395667.5,443.0
OIBR3,OIBR3,ON N1,OI ON N1,Telecomunicações,Telecomunicações,0.89,2022-01-25,0.69,2.26,58656700,5872420000,34000200000,2021-09-30,6598220000,-120,553,-168,293,008,026,-021,0.0%,-2519,-0.9730000000000001,-40.3%,-074,016,26.2%,-174.5%,-245.4%,-4.6%,-5.1%,-462.7%,197,2952,003,75529300000,3212130000,46291100000,31339900000,28127800000,1061810000,2002880000,-3494680000,-4913330000,2243790000,-620208000,-4812610000,,,,,,,242.0,212.0,1466417.5,454.0
ENJU3,ENJU3,ON NM,ENJOEI ON NM,Programas e Serviços,Programas e Serviços,2.87,2022-01-25,2.34,20.90,8811270,567846000,148025000,2021-09-30,197856000,-546,126,-497,540,115,138,141,0.0%,-140,-0.13,-,-053,228,27.9%,-108.6%,-98.8%,-23.1%,-188.2%,-23.0%,1244,-,021,495670000,419821000,448450000,0,-419821000,450931000,105222000,-114266000,-103927000,25913000,-27879000,-23256000,,,,,,,226.0,231.0,220281.75,457.0
SMFT3,SMFT3,ON NM,SMART FIT ON NM,Viagens e Lazer,Atividades Esportivas,16.69,2022-01-25,14.25,32.20,25010000,9784380000,9737240000,2021-09-30,586242000,-1561,216,-2732,633,090,412,-384,0.0%,2352,-2.719,12.2%,-107,772,2.9%,-23.2%,-40.7%,-3.3%,-4.9%,-13.9%,268,072,014,10894600000,3323900000,3787710000,3276750000,-47148000,4524110000,1546250000,-358171000,-626797000,445429000,-89550000,-156827000,,,,,,,255.0,213.5,625250.0,468.5
MATD3,MATD3,ON NM,MATER DEI ON NM,Serv.Méd.Hospit. Análises e Diagnósticos,Serv.Méd.Hospit. Análises e Diagnósticos,14.54,2022-01-25,10.85,21.55,12628700,5559080000,4463870000,2021-09-30,382330000,000,363,-,-,222,388,751,0.0%,-,0.0,-,000,401,-,-,-,0.0%,-,-,609,017,-,2504340000,1353460000,1712880000,258249000,-1095210000,1531620000,0,0,0,240402000,59351000,43634000,,,,,,,213.0,256.0,315717.5,469.0
MLAS3,MLAS3,ON NM,MULTILASER ON NM,Computadores e Equipamentos,Computadores e Equipamentos,6.92,2022-01-25,6.27,12.98,12830200,5678130000,5113030000,2021-09-30,820539000,000,145,-,-,075,135,170,0.0%,-,0.0,-,000,477,-,-,-,0.0%,-,-,250,028,-,7585330000,1650180000,7009650000,1085080000,-565098000,3910490000,0,0,0,1390670000,244281000,225656000,,,,,,,213.0,256.0,320755.0,469.0
VVEO3,VVEO3,ON NM,VIVEO ON NM,Comércio e Distribuição,Medicamentos e Outros Produtos,15.88,2022-01-25,13.80,26.84,9800600,4543640000,4405920000,2021-09-30,286123000,000,209,-,-,080,195,1213,0.0%,-,0.0,-,000,759,-,-,-,0.0%,-,-,249,072,-,5691660000,1706890000,3894190000,1569170000,-137720000,2172080000,0,0,0,1495760000,28319000,61255000,,,,,,,213.0,256.0,245015.0,469.0
CBAV3,CBAV3,ON NM,CBA ON NM,Mineração,Minerais Metálicos,16.06,2022-01-25,10.27,16.30,33254300,9569080000,11270300000,2021-09-30,595833000,000,249,-,-,085,486,-322,0.0%,-,0.0,-,000,645,-,-,-,0.0%,-,-,185,080,-,11290100000,1378900000,4296760000,3080090000,1701190000,3843160000,0,0,0,2300040000,224144000,-47309000,,,,,,,213.0,256.0,831357.5,469.0
IFCM3,IFCM3,ON NM,INFRACOMM ON NM,Programas e Serviços,Programas e Serviços,14.52,2022-01-25,13.05,23.78,23418400,4040280000,3526060000,2021-09-30,278257000,000,438,-,-,269,852,1266,0.0%,-,0.0,-,000,331,-,-,-,0.0%,-,-,211,011,-,1503450000,611017000,901026000,96792000,-514225000,921548000,0,0,0,105118000,-9416000,-3808000,,,,,,,213.0,256.0,585460.0,469.0
TRAD3,TRAD3,ON NM,TC ON NM,Programas e Serviços,Programas e Serviços,4.37,2022-01-25,4.18,13.21,13808600,1230800000,713410000,2021-09-30,281647000,000,194,-,-,182,241,243,0.0%,-,0.0,-,000,226,-,-,-,0.0%,-,-,1574,001,-,675333000,525880000,545579000,8492000,-517388000,635506000,0,0,0,25207000,-5919000,11438000,,,,,,,213.0,256.0,345215.0,469.0
CLSA3,CLSA3,ON NM,CLEARSALE ON NM,Serviços Financeiros Diversos,Serviços Financeiros Diversos,10.27,2022-01-25,7.73,29.69,17701600,1930000000,1273270000,2021-09-30,187926000,000,246,-,-,192,247,279,0.0%,-,0.0,-,000,418,-,-,-,0.0%,-,-,694,015,-,1006020000,772876000,913394000,116142000,-656734000,785018000,0,0,0,116229000,-30329000,-45238000,,,,,,,213.0,256.0,442540.0,469.0
ONCO3,ONCO3,ON NM,ONCOCLINICAS ON NM,Serv.Méd.Hospit. Análises e Diagnósticos,Serv.Méd.Hospit. Análises e Diagnósticos,10.01,2022-01-25,7.65,19.24,16567500,4958530000,4754700000,2021-09-30,495358000,000,286,-,-,100,324,-1601,0.0%,-,0.0,-,000,350,-,-,-,0.0%,-,-,238,091,-,4970300000,1773520000,2639280000,1569680000,-203836000,1734180000,0,0,0,679420000,200492000,145177000,,,,,,,213.0,256.0,414187.5,469.0
RECV3,RECV3,ON NM,PETRORECONCA ON NM,"Petróleo, Gás e Biocombustíveis","Exploração, Refino e Distribuição",20.40,2022-01-25,13.56,20.84,13872700,5069750000,4701230000,2021-09-30,248517000,000,274,-,-,153,709,-5828,0.0%,-,0.0,-,000,744,-,-,-,0.0%,-,-,208,043,-,3312560000,1156480000,1376260000,787959000,-368516000,1849310000,0,0,0,260344000,69826000,22926000,,,,,,,213.0,256.0,346817.5,469.0
GGPS3,GGPS3,ON NM,GPS ON NM,Serviços Diversos,Serviços Diversos,14.46,2022-01-25,11.91,19.76,28796000,9651920000,9644010000,2021-09-30,667491000,000,445,-,-,174,668,-2128,1.3%,-,0.0,-,000,325,-,-,-,0.0%,-,-,197,062,-,5554120000,1359920000,2932100000,1352010000,-7910020,2166720000,0,0,0,1658910000,165423000,99298000,,,,,,,213.0,256.0,719900.0,469.0
ARML3,ARML3,ON NM,ARMAC ON NM,Diversos,Aluguel de carros,20.83,2022-01-25,18.96,26.74,18713000,7202170000,7032500000,2021-09-30,345760000,000,650,-,-,368,870,3821,0.0%,-,0.0,-,000,321,-,-,-,0.0%,-,-,493,065,-,1958980000,892411000,1038990000,722739000,-169672000,1108480000,0,0,0,99346000,28381000,13676000,,,,,,,213.0,256.0,467825.0,469.0
LUPA3,LUPA3,ON NM,LUPATECH ON NM,"Petróleo, Gás e Biocombustíveis",Equipamentos e Serviços,5.80,2022-01-25,2.01,11.30,10802000,168879000,291040000,2021-09-30,29117000,175,127,-1118,207,033,100,-135,0.0%,-2962,-1.927,-8.9%,332,457,27.3%,-18.5%,118.5%,-2.9%,-3.1%,72.6%,296,104,016,512858000,16352000,254660000,138513000,122161000,133184000,81668000,-15105000,96736000,23801000,-862000,121000,,,,,,,248.0,222.5,270050.0,470.5
CEAB3,CEAB3,ON NM,CEA MODAS ON NM,Comércio,"Tecidos, Vestuário e Calçados",5.84,2022-01-25,5.17,15.31,15524200,1800150000,2205490000,2021-09-30,308245000,634,063,-1170,036,024,152,-107,0.0%,369,-1.4330000000000003,24.1%,092,922,46.1%,-3.1%,5.6%,-2.0%,-2.8%,10.0%,162,048,066,7613820000,969382000,3084100000,1374730000,405344000,2841200000,5038070000,-153866000,283918000,1339410000,-53978000,243904000,,,,,,,245.0,226.0,388105.0,471.0
CVCB3,CVCB3,ON NM,CVC BRASIL ON NM,Viagens e Lazer,Viagens e Turismo,12.92,2022-01-25,11.09,28.65,140518000,2906160000,3129060000,2021-09-30,224935000,4857,559,-707,431,055,14176,-199,0.0%,-1284,-0.7609999999999999,-15.1%,027,231,100.0%,-60.9%,7.7%,-7.8%,-10.4%,11.5%,101,191,013,5293040000,770702000,3311960000,993606000,222904000,519798000,674630000,-410994000,59839000,230374000,-43751000,-81049000,,,,,,,239.0,237.0,3512950.0,476.0
ELET3,ELET3,ON,ELETROBRÁS ON,Energia Elétrica,Energia Elétrica,34.03,2022-01-25,25.39,47.57,173692000,53390700000,78163000000,2021-09-30,1568930000,831,070,-1517,180,028,287,-075,7.0%,-4743,-2.221,-7.4%,409,4852,65.9%,-11.8%,21.8%,-1.8%,-2.1%,8.4%,170,064,015,193255000000,24326200000,45209100000,49098500000,24772300000,76128500000,29720400000,-3519680000,6422970000,9956630000,-1457520000,923845000,,,,,,,250.0,229.0,4342300.0,479.0
CASH3,CASH3,ON NM,MELIUZ ON NM,Programas e Serviços,Programas e Serviços,2.75,2022-01-25,2.46,12.33,166015000,2210090000,1641320000,2021-09-30,803670000,-46130,310,-24316,1061,267,374,422,0.2%,-27351,-18.058,-,-001,089,-4.4%,-4.4%,-1.1%,-1.1%,-3.6%,-0.7%,2109,000,025,826253000,570982000,620739000,2210000,-568772000,713849000,208365000,-9089000,-4791000,58727000,-10802000,-4539000,,,,,,,264.0,219.0,4150375.0,483.0
COGN3,COGN3,ON,COGNA ON,Diversos,Serviços Educacionais,2.47,2022-01-25,2.00,4.80,79105900,4635220000,10682400000,2021-09-30,1876610000,-101,037,-2131,108,016,169,-063,0.0%,1918,-4.911,-5.6%,-244,676,64.3%,-5.1%,-107.2%,-0.8%,-0.9%,-36.1%,154,073,015,28898600000,3168250000,7843680000,9215440000,6047190000,12679000000,4293490000,-217499000,-4574080000,1022440000,-96789000,-370222000,,,,,,,257.0,241.5,1977647.5,498.5
BRAP3,BRAP3,ON N1,BRADESPAR S/A ON N1,Mineração,Minerais Metálicos,23.82,2022-01-25,17.09,24.66,9348390,9363570000,6808410000,2021-09-30,393097000,172,064,-33957,-,064,367,367,40.7%,-24691,-24.691,-,1385,3701,-,-,0.0%,-0.2%,-0.2%,37.4%,6533,-,-,14587600000,2555160000,2591810000,0,-2555160000,14547000000,0,-27575000,5444250000,0,-8382000,1175860000,,,,,,,265.0,245.0,233709.75,510.0
